school_year,state_id,state_abbrev,eval_year,class_remove_year,suspension_year,PBIS,enroll,FRPL_percent,enroll_OTHER,enroll_AM,enroll_ASIAN,enroll_HISP,enroll_BLACK,enroll_WHITE,ODR_class,ODR_other,ODR_subjective,ODR_objective
2017,19,IA,,,,1,24146,0.445822477340698,0,122,311,2342,951,19631,1.97913658618927,1.47565197944641,1.35063326358795,0.620504021644592
2006,20,KS,2014,,,1,852,0.493352293968201,0,8,13,33,53,570,1.83488869667053,2.3590772151947,1.4747074842453,1.61067652702332
2007,20,KS,2014,,,1,764,0.50699245929718,0,7,13,28,39,498,2.40498042106628,2.57515692710876,2.1214873790741,1.80922758579254
2008,20,KS,2014,,,1,1693,0.664180636405945,0,24,28,63,216,1466,1.55557346343994,1.67692375183105,1.10382854938507,0.859449982643127
2009,20,KS,2014,,,0,2621,0.575609743595123,0,17,22,137,208,2094,3.40073919296265,2.20426630973816,3.23548579216003,0.542986452579498
2010,20,KS,2014,,,1,3712,0.569260835647583,23,27,32,210,213,2794,1.56893610954285,2.11225366592407,1.28488659858704,0.695551693439484
2011,20,KS,2014,,,1,3559,0.565952658653259,0,21,39,209,212,2653,2.22489714622498,1.56527435779572,1.96228623390198,0.420521438121796
2012,20,KS,2014,,,1,3011,0.596383213996887,40,27,39,246,221,2558,2.0303225517273,0.913994133472443,1.60035157203674,0.312663853168488
2013,20,KS,2014,,,0,2192,0.598329305648804,0,16,23,176,68,1823,2.82602071762085,1.60882043838501,1.85803616046906,0.575116157531738
2014,20,KS,2014,,,1,2886,0.473360419273377,0,12,35,160,182,2311,1.65462851524353,0.635436415672302,1.16186392307282,0.272845685482025
2015,20,KS,2014,,,1,3509,0.564556956291199,0,18,36,207,194,2763,1.94174766540527,1.38993692398071,1.40805089473724,0.397124826908112
2016,20,KS,2014,,,1,3009,0.603049099445343,0,15,26,175,171,2388,1.22375619411469,1.3488382101059,0.879130244255066,0.466786086559296
2017,20,KS,2014,,,1,1165,0.547239243984222,0,8,9,112,17,937,2.06070733070374,1.882483959198,1.49262046813965,0.534669995307922
2006,21,KY,2014,,,,10989,0.56212306022644,0,9,106,216,650,10152,1.77404296398163,1.12355673313141,1.36583065986633,0.423280447721481
2007,21,KY,2014,,,,13710,0.531465888023377,0,13,165,328,935,11931,1.77530539035797,1.1996169090271,1.10895705223084,0.385922282934189
2008,21,KY,2014,,,,22197,0.543624341487885,0,29,252,592,1572,17504,1.59583210945129,1.34897089004517,1.20811247825623,0.415928661823273
2009,21,KY,2014,,,1,37212,0.570904195308685,491,47,402,1039,2385,30854,1.47744536399841,1.07505893707275,0.868295907974243,0.324141502380371
2010,21,KY,2014,,,1,47158,0.572769939899445,343,51,692,1654,2960,37504,1.23917829990387,0.974821627140045,0.817381620407105,0.300535202026367
2011,21,KY,2014,,,1,43279,0.619140625,578,49,704,1778,3111,35055,1.36670410633087,0.998157203197479,0.830871522426605,0.32545131444931
2012,21,KY,2014,,,1,43711,0.600852251052856,631,50,703,1958,2805,35244,0.943914949893951,0.862800598144531,0.597572386264801,0.280272841453552
2013,21,KY,2014,,,1,42482,0.579986035823822,55,41,720,2156,2860,35019,0.854027390480042,0.773302257061005,0.558829128742218,0.21424263715744
2014,21,KY,2014,,,1,39442,0.626865684986115,0,36,837,2220,2277,32938,0.877637147903442,0.74197119474411,0.549059450626373,0.257718682289124
2015,21,KY,2014,,,1,48928,0.652777552604675,0,58,995,2833,3225,40072,0.706104516983032,0.697051405906677,0.427938997745514,0.246162086725235
2016,21,KY,2014,,,1,41462,0.651105642318726,0,54,991,2446,2804,33512,0.838926196098328,0.765564680099487,0.543814122676849,0.285728484392166
2017,21,KY,2014,,,1,40704,0.64853048324585,0,53,1056,2483,2693,32744,0.78804361820221,0.702283501625061,0.571566104888916,0.255813509225845
2006,22,LA,2012,2009,2007,,339,0.912850797176361,0,2,2,0,299,37,3.12206268310547,2.30797624588013,2.71082329750061,0.360883563756943
2007,22,LA,2012,2009,2007,,1084,0.733333349227905,0,5,7,18,482,572,6.34344959259033,2.59856939315796,4.90040683746338,0.912059128284454
2008,22,LA,2012,2009,2007,,1488,0.680187225341797,0,11,12,32,542,893,7.86492967605591,1.92930793762207,5.85855579376221,0.360014408826828
2009,22,LA,2012,2009,2007,,1561,0.677009880542755,0,7,19,35,568,927,8.6028470993042,1.24655973911285,5.49153423309326,0.315687239170074
2010,22,LA,2012,2009,2007,,1256,0.589132845401764,1,7,5,16,275,947,5.93993854522705,1.49722301959991,4.2765531539917,0.297332584857941
2011,22,LA,2012,2009,2007,,1578,0.711911380290985,0,7,3,17,596,959,6.83611154556274,1.5777473449707,5.12800359725952,0.501595973968506
2012,22,LA,2012,2009,2007,,1509,0.703488349914551,0,10,10,25,575,890,3.80796957015991,1.53520965576172,3.28807020187378,0.333741247653961
2013,22,LA,2012,2009,2007,,1392,0.901803612709045,0,9,3,20,759,602,3.9005618095398,1.12959218025208,3.35491991043091,0.307790786027908
2014,22,LA,2012,2009,2007,,1508,0.683051705360413,0,7,11,23,590,875,1.73671936988831,0.712653815746307,1.28157913684845,0.158052787184715
2015,22,LA,2012,2009,2007,,1394,0.689703702926636,0,7,7,27,457,897,1.03042840957642,0.374820947647095,0.722822666168213,0.142709210515022
2016,22,LA,2012,2009,2007,,1588,0.697530865669251,0,7,6,27,643,900,1.2544219493866,0.623443186283112,0.893437325954437,0.245278388261795
2017,22,LA,2012,2009,2007,,1388,0.666290283203125,0,5,5,25,420,899,1.40405929088593,0.371441930532455,1.14346778392792,0.199166163802147
2006,23,ME,2016,,,,,,,,,,,,,,,
2007,23,ME,2016,,,,,,,,,,,,,,,
2008,23,ME,2016,,,,411,0.260657727718353,0,2,4,2,2,401,0.431099385023117,1.37541234493256,0.273713886737824,0.390042275190353
2009,23,ME,2016,,,,,,,,,,,,,,,
2010,23,ME,2016,,,0,1688,0.47809624671936,17,11,8,16,11,1476,1.19704067707062,2.01013255119324,0.518883109092712,1.09942889213562
2011,23,ME,2016,,,1,3660,0.0776340141892433,0,19,19,31,40,2746,3.73190784454346,3.85281372070313,1.93990516662598,1.56471717357636
2012,23,ME,2016,,,1,6039,0.474226802587509,28,29,91,88,138,5033,2.33918118476868,3.0014431476593,1.05420780181885,0.77599310874939
2013,23,ME,2016,,,1,5553,0.472563236951828,0,22,84,95,133,5147,2.58676862716675,2.46269726753235,1.73272526264191,0.876273393630981
2014,23,ME,2016,,,1,5764,0.501517057418823,0,32,67,96,139,5356,2.43438363075256,2.1941249370575,1.50839495658875,0.697805285453796
2015,23,ME,2016,,,1,5922,0.502780854701996,0,29,95,107,139,5451,2.42285704612732,2.48075413703918,1.77142858505249,1.02857136726379
2016,23,ME,2016,,,1,5899,0.496703296899796,0,27,94,107,129,5401,1.63695502281189,2.15233039855957,0.749831020832062,0.934672355651855
2017,23,ME,2016,,,1,5859,0.502780854701996,0,29,88,115,139,5349,1.72451591491699,2.21164011955261,1.25714290142059,0.759240746498108
2006,24,MD,2013,2009,2014,0,49881,0.312966406345367,0,273,1980,3162,17138,25616,1.45327484607697,0.868282198905945,1.01462852954865,0.330091238021851
2007,24,MD,2013,2009,2014,0,64375,0.309359610080719,0,335,2711,4929,22183,31455,1.11789190769196,0.704642653465271,0.654378175735474,0.290737926959991
2008,24,MD,2013,2009,2014,1,71350,0.351924598217011,0,359,3095,5845,24500,33944,1.2077294588089,0.765791475772858,0.828993320465088,0.287554621696472
2009,24,MD,2013,2009,2014,1,81104,0.366400003433228,65,416,3678,6586,25113,37219,0.952275156974792,0.669077754020691,0.662251651287079,0.252899914979935
2010,24,MD,2013,2009,2014,1,78947,0.403722286224365,401,333,3423,7281,23369,36131,0.881274342536926,0.691163241863251,0.582521319389343,0.252000272274017
2011,24,MD,2013,2009,2014,1,79641,0.393939405679703,1546,345,3430,8135,23859,36616,0.676097333431244,0.591563761234283,0.437572360038757,0.231991648674011
